0.000105194	1.85966
0.000130113	1.82141
0.000158669	1.78391
0.000193488	1.76565
0.000242737	1.72936
0.000322278	1.69392
0.000421855	1.67672
0.000529229	1.64226
0.000683031	1.59173
0.00103022	1.54303
0.00142724	1.49567
0.00197726	1.44977
0.00262529	1.39051
0.00348564	1.34777
0.00503883	1.27929
0.00669042	1.21417
0.00851347	1.16448
0.011304	1.1052
0.0147986	1.0271
0.0193727	0.974798
0.0243057	0.91544
0.0304948	0.859696
0.0393614	0.790572
0.0493875	0.71938
0.060236	0.654577
0.0734675	0.595612
0.0896131	0.519638
0.112449	0.45337
0.139122	0.391409
0.169704	0.334377
0.201237	0.276776
0.235272	0.229094
0.278989	0.18963
0.330865	0.148925
0.365501	0.124564
0.403772	0.103098
